# lambda [m], L_lambda [W/m]
1.010061066e-08,1.571236929e+41
1.037270426e-08,1.550896542e+41
1.068869105e-08,4.103544332e+41
1.096942123e-08,3.344640871e+41
1.131548256e-08,2.692388986e+41
1.155148328e-08,6.270675964e+41
1.199729021e-08,1.724367891e+42
1.234415753e-08,2.337630281e+42
1.260255967e-08,2.232874264e+42
1.282415968e-08,6.024512553e+41
1.326582949e-08,5.214737731e+41
1.373801827e-08,9.208696722e+41
1.411680656e-08,2.630697936e+42
1.460390077e-08,2.123562749e+42
1.511133111e-08,2.584318637e+42
1.57428207e-08,2.829804779e+42
1.616428261e-08,1.31080607e+42
1.654674222e-08,7.434035086e+41
1.694308278e-08,5.140189439e+41
1.726954855e-08,2.882701807e+42
1.762251352e-08,3.35027097e+42
1.80424373e-08,1.946045756e+42
1.831427071e-08,2.113142026e+42
1.878356953e-08,2.90697362e+42
1.941600492e-08,1.545858182e+42
2.005705858e-08,3.166260668e+42
2.077792559e-08,1.951037283e+42
2.156662755e-08,4.35880252e+42
2.235117334e-08,4.312205662e+42
2.269893846e-08,4.162164718e+42
2.307753604e-08,5.296200872e+42
2.391535881e-08,6.915435654e+42
2.447410289e-08,1.177995388e+43
2.515514175e-08,3.286825797e+43
2.58389859e-08,6.055911969e+43
2.625095247e-08,4.10286533e+43
2.709151203e-08,6.950354814e+43
2.771600027e-08,7.358784847e+43
2.848785433e-08,3.951673872e+43
2.955477397e-08,3.880279314e+43
3.019375877e-08,3.523274824e+43
3.083582474e-08,6.230336373e+43
3.177315447e-08,9.804843352e+43
3.283654347e-08,1.4843563e+44
3.396058091e-08,1.217371096e+44
3.506354419e-08,1.250371188e+44
3.577749436e-08,5.603903269e+43
3.683879137e-08,1.326176297e+44
3.770417438e-08,1.430085057e+44
3.886426184e-08,1.183199301e+44
4.013766651e-08,1.403887115e+44
4.092929773e-08,2.260305686e+44
4.209607533e-08,1.710982241e+44
4.349985047e-08,1.164743114e+44
4.473143872e-08,2.195768506e+44
4.612650119e-08,2.640024315e+44
4.77396786e-08,2.618223332e+44
4.963683694e-08,3.172871135e+44
5.079324652e-08,3.56944272e+44
5.185835253e-08,4.508723111e+44
5.302301487e-08,3.104770467e+44
5.445586839e-08,7.7434208e+43
5.601315064e-08,3.496283251e+44
5.754276676e-08,3.725318078e+44
5.870900144e-08,4.617711063e+44
6.067243024e-08,4.11651856e+44
6.283170855e-08,2.926924821e+44
6.50363799e-08,3.604654788e+44
6.67206955e-08,2.948204954e+44
6.815936764e-08,3.711087073e+44
6.982767653e-08,3.339964643e+44
7.224835104e-08,4.210109752e+44
7.43966923e-08,3.448732439e+44
7.597934541e-08,2.764884878e+44
7.741402654e-08,2.609524025e+44
7.99170111e-08,3.226354811e+44
8.278178151e-08,3.317375085e+44
8.48140194e-08,3.071795618e+44
8.684933729e-08,3.46733921e+44
8.949849666e-08,3.687073442e+44
9.109329516e-08,4.849094675e+44
9.266938721e-08,8.318100876e+44
9.469377608e-08,1.175350088e+45
9.619938574e-08,1.07159775e+45
9.874670898e-08,7.99095322e+44
1.004980519e-07,1.146011319e+45
1.028531909e-07,1.018889918e+45
1.048000441e-07,1.324876561e+45
1.073428542e-07,1.163704602e+45
1.107560617e-07,1.131537238e+45
1.138863735e-07,1.094734469e+45
1.1799555e-07,9.49766567e+44
1.203897859e-07,7.846129925e+44
1.23204193e-07,9.10172226e+44
1.25952281e-07,1.002598511e+45
1.289732937e-07,9.865363123e+44
1.324404416e-07,9.639840542e+44
